Feature,Coefficient
OverTime,1.2655139250757643
YearsSinceLastPromotion,0.554609932151779
YearsAtCompany,0.5228162338400085
MaritalStatus,0.48468285999282457
NumCompaniesWorked,0.46727101781295904
Department,0.43704214439692995
EducationField,0.4251763187548339
DistanceFromHome,0.40836970279734963
Gender,0.28950295062728054
MonthlyRate,0.28460420597872615
Education,0.22598225471245587
HourlyRate,-0.04703852681554894
MonthlyIncome,-0.0756381989928344
PerformanceRating,-0.08036711065907286
PercentSalaryHike,-0.10668965530667125
DailyRate,-0.10942308648003186
JobRole,-0.17021003439622
BusinessTravel,-0.17592853988461823
TrainingTimesLastYear,-0.20001828534420224
WorkLifeBalance,-0.3090725429891954
RelationshipSatisfaction,-0.3831346539405581
JobInvolvement,-0.4002131991567772
Age,-0.4201234224517473
JobSatisfaction,-0.49340839911071627
TotalWorkingYears,-0.5414086485515306
YearsInCurrentRole,-0.5514395983427517
YearsWithCurrManager,-0.6384249885205358
StockOptionLevel,-0.6399972208506699
EnvironmentSatisfaction,-0.6498407754781272
JobLevel,-0.7363254130936364
